"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
9199,"HemoSonics - UTMB Cardiac Surgery Study","Enrolling by invitation","No Results Available","Blood Loss, Surgical","Diagnostic Test: Quantra System","University of Texas Medical Branch, Galveston, Texas, United States","https://ClinicalTrials.gov/show/NCT03988465"
9200,"Nucleosides And Darunavir/Dolutegravir In Africa","Not yet recruiting","No Results Available","Human Immunodeficiency Virus","Drug: Darunavir|Drug: Ritonavir|Drug: Dolutegravir|Drug: Zidovudine|Drug: Tenofovir|Drug: Lamivudine",,"https://ClinicalTrials.gov/show/NCT03988452"
9201,"A Safety and Pharmacokinetics Study of IDP-118 Lotion in Pediatric Participants With Plaque Psoriasis","Recruiting","No Results Available","Psoriasis","Drug: IDP-118 Lotion","Bausch Site 7, Doral, Florida, United States|Bausch Site 8, Miami, Florida, United States|Bausch Site 3, Louisville, Kentucky, United States|Bausch Site 6, Saint Joseph, Missouri, United States|Bausch Site 1, Henderson, Nevada, United States|Bausch Site 5, San Antonio, Texas, United States|Bausch Site 4, Murray, Utah, United States|Bausch Site 2, Panama City, Panama","https://ClinicalTrials.gov/show/NCT03988439"
9202,"Study to Evaluate the Efficacy, Tolerability and Safety of Subcutaneous Human Immunoglobulin (Octanorm) in Patients With Primary Immunodeficiency Diseases","Completed","No Results Available","Primary Immune Deficiency Disorder","Biological: Octanorm","The State Research Center, Institute of Immunology of the Federal Medical-Biological Agency, Moscow, Russian Federation|Federal Research Center of Pediatric Hematology, Oncology and Immunology of the Ministry of Health and Social Development of the Russian Federation, Moscow, Russian Federation|State Medical University, Rostov, Russian Federation|Pasteur Institute, Saint Petersburg, Russian Federation|Institute of Immunology and Physiology of the Ural Branch of the Russian Academy of sciences, Yekaterinburg, Russian Federation","https://ClinicalTrials.gov/show/NCT03988426"
9203,"Study on Safety, Absorption and Metabolism of SYHA1402 Tablets in Healthy People","Not yet recruiting","No Results Available","Diabetic Neuropathy Peripheral","Drug: 25mg|Drug: 50mg|Drug: 100mg|Drug: 200mg|Drug: 400mg|Drug: 800mg|Drug: 1200mg",,"https://ClinicalTrials.gov/show/NCT03988413"
9204,"Sensory Augmentation Methods in Stroke","Not yet recruiting","No Results Available","Stroke","Behavioral: Sensory Augmentation|Behavioral: Random Vibration","Ralph H. Johnson VA Medical Center, Charleston, SC, Charleston, South Carolina, United States","https://ClinicalTrials.gov/show/NCT03988400"
9205,"IPREP Study #2: Evaluating Enhanced PrEP Packages for Young Female Sex Workers in Kisumu, Kenya","Not yet recruiting","No Results Available","HIV","Behavioral: Peer Support (PS)|Behavioral: Reminder and Resource Transfer (RRT)|Drug: daily oral PrEP (emtricitabine 200 mg/tenofovir 300 mg) [FTC/TDF]","Tuungane Centre, Kisumu, Kenya","https://ClinicalTrials.gov/show/NCT03988387"
9206,"Clinical Efficacy Evaluation of Three Dentifrices","Completed","No Results Available","Gingival Inflammation and Bleeding|Dental Plaque","Drug: Dentifrices","All Sum Research Center Ltd., Mississauga, Ontario, Canada","https://ClinicalTrials.gov/show/NCT03988374"
9207,"Selection of Non Apoptotic Human Sperm for in Vitro Fertilization by Using Magnetic Activated Cell Sorting (MACS)","Not yet recruiting","No Results Available","Infertility, Male","Diagnostic Test: Magnetic Activated Cell Sorting",,"https://ClinicalTrials.gov/show/NCT03988361"
9208,"Perioperative Outcome of Infraumbilical Versus a Modified Intraumbilical Direct Trocar Insertion","Not yet recruiting","No Results Available","Gynecologic Disease","Procedure: infraumbilical transverse incision|Procedure: intraumbilical incision",,"https://ClinicalTrials.gov/show/NCT03988348"
9209,"A Study to Evaluate RIST4721 in Palmoplantar Pustulosis (PPP)","Recruiting","No Results Available","Palmoplantar Pustulosis","Drug: RIST4721|Drug: Placebo","Kirk Barber Research, Calgary, Alberta, Canada|Alberta DermaSurgery Centre, Edmonton, Alberta, Canada|CARe Clinic (Central Alberta Research Clinic), Red Deer, Alberta, Canada|Winnipeg Clinic, Winnipeg, Manitoba, Canada|Brunswick Dermatology Center, Fredericton, New Brunswick, Canada|SimcoDerm Medical and Surgical Dermatology Center, Barrie, Ontario, Canada|Lynderm Research Inc., Markham, Ontario, Canada|North Bay Dermatology Centre, North Bay, Ontario, Canada|York Dermatology Center, Richmond Hill, Ontario, Canada|Dr. Lyne Giroux Medicine Professional Corporation, Sudbury, Ontario, Canada|Innovaderm Research Inc., Montréal, Quebec, Canada|Dre Angelique Gagne-Henley MD Inc., St-Jérôme, Quebec, Canada|Fachklinik Bad Bentheim, Bad Bentheim, Germany|Rothhaar Studien GmbH, Berlin, Germany|Hautarztpraxis Dr. Niesmann & Dr. Othlinghaus, Bochum, Germany|MensingDerma resesearch GmbH, Hamburg, Germany|Hautarztpraxis Dr. Wilfried Steinborn, Straubing, Germany","https://ClinicalTrials.gov/show/NCT03988335"
9210,"Computed Tomography Screening for Early Lung Cancer, COPD and Cardiovascular Disease in Shanghai, China","Recruiting","No Results Available","Lung Neoplasms|Mass Screening|Chronic Obstructive Pulmonary Disease|Cardiovascular Disease","Other: Low-dose CT screening with quantitative assessment and management of imaging biomarkers|Other: Low-dose CT screening with visual assessment and management of imaging biomarkers","Shanghai Changzheng Hospital, Shanghai, China","https://ClinicalTrials.gov/show/NCT03988322"
9211,"The Cxbladder Hematuria Clinical Utility Study","Not yet recruiting","No Results Available","Hematuria|Urothelial Carcinoma","Diagnostic Test: Cxbladder",,"https://ClinicalTrials.gov/show/NCT03988309"
9212,"Molecular Diagnostic Methods for Detection of Plasmodium Knowlesi","Recruiting","No Results Available","Plasmodium Knowlesi Infection",,"Kapit Hospital, Kapit, Sarawak, Malaysia|Sarikei Hospital, Sarikei, Sarawak, Malaysia|Sibu Hospital, Sibu, Sarawak, Malaysia","https://ClinicalTrials.gov/show/NCT03988296"
9213,"Neoepitope-based Personalized DNA Vaccine Approach in Pediatric Patients With Recurrent Brain Tumors","Not yet recruiting","No Results Available","Pediatric Recurrent Brain Tumor","Biological: Personalized neoantigen DNA vaccine|Device: TDS-IM System|Procedure: Peripheral blood draw","Washington University School of Medicine, Saint Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT03988283"
9214,"Prefistula Forearm Exercise in Pts Requiring Chronic HD Therapy","Recruiting","No Results Available","Arterio-venous Fistula|Kidney Failure|Hemodialysis Access Failure","Other: Exercise","Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States","https://ClinicalTrials.gov/show/NCT03988270"
9215,"The Effectiveness of Pleuran in Treatment of Acute Gastroenteritis in Children","Recruiting","No Results Available","Diarrhoea;Acute","Dietary Supplement: Imunoglukan PH4|Dietary Supplement: Placebo (vitamin C syrup)","The Department of Pediatrics with Clinical Assessment Unit, The Medical University of Warsaw, Warsaw, Poland","https://ClinicalTrials.gov/show/NCT03988257"
9216,"HeartLight X3 Endoscopic Ablation System With Excalibur Balloon for Treatment of Symptomatic Persistent AF","Active, not recruiting","No Results Available","Atrial Fibrillation","Device: HeartLight X3","Nemocnice Na Homolce, Prague, Czechia","https://ClinicalTrials.gov/show/NCT03988244"
9217,"Enoxaparin Versus Placebo for Venous Thromboembolism Prevention in Low Risk Cancer Patients After Surgical Procedures: a Randomized, Double Blind, Placebo Controlled Clinical Trial Pilot Study","Not yet recruiting","No Results Available","Venous Thromboembolism|Bleeding as Surgical Complication (Treatment)|Deep Venous Thrombosis|Pulmonary Embolism","Drug: Receipt of enoxaparin|Drug: Placebo",,"https://ClinicalTrials.gov/show/NCT03988231"
9218,"Perception and Representation of Internal Body in Anorexia Nervosa","Recruiting","No Results Available","Anorexia Nervosa","Behavioral: perceptive tests","Centre Hospitalier Esquirol, Limoges, France","https://ClinicalTrials.gov/show/NCT03988218"
9219,"The Feasibility of Safely Managing Patients Receiving Induction With Liposomal Daunorubicin and Cytarabine (CPX-351) for Acute Myeloid Leukemia (AML) in an Outpatient Environment","Not yet recruiting","No Results Available","Acute Myeloid Leukemia","Drug: CPX-351",,"https://ClinicalTrials.gov/show/NCT03988205"
9220,"Volatile Organic Compounds in Exhaled Air and Sweat of Patients Treated by Immunotherapy for Lung Cancer: Research on Biomarkers for Early Therapeutic Response","Recruiting","No Results Available","Lung Cancer, Non-small Cell","Device: VOC analysis","Hôpital Foch, Suresnes, France","https://ClinicalTrials.gov/show/NCT03988192"
9221,"Predicting Delirium by Attentional Dysfunction","Completed","No Results Available","Delirium in Old Age","Diagnostic Test: The Cholinesterase Inhibitor Prognosticator (ChIP) application for iPad",,"https://ClinicalTrials.gov/show/NCT03988179"
9222,"Chronic Total Occlusion Percutaneous Coronary Intervention Study","Not yet recruiting","No Results Available","Chronic Total Occlusion|Ischemic Heart Disease|Chronic Total Occlusion of Coronary Artery","Procedure: Chronic Total Occlusion Revascularization|Device: GuideLiner® V3 catheter, TrapLiner® catheter, Turnpike® catheter",,"https://ClinicalTrials.gov/show/NCT03988166"
9223,"Efficacy of Probiotic Milk Formula on Blood Lipid and Intestinal Function","Completed","No Results Available","Healthy","Combination Product: Probiotic Milk Formula",,"https://ClinicalTrials.gov/show/NCT03988153"
9224,"Apico-coronal Position of the Implant in Edentulous Diabetics With Implant-retained Overdentures","Completed","No Results Available","Diabetes Mellitus|Dental Implants","Device: Dental Implant Placement and subsequent prosthetic reabilithation",,"https://ClinicalTrials.gov/show/NCT03988140"
9225,"Perfusion Index in Pain Assessment","Not yet recruiting","No Results Available","Pain, Postoperative","Diagnostic Test: Perfusion index",,"https://ClinicalTrials.gov/show/NCT03988127"
9226,"A Study of Abemaciclib (LY2835219) in Participants With HR+, HER2- Advanced Breast Cancer","Withdrawn","No Results Available","Metastatic Breast Cancer","Drug: Abemaciclib|Drug: Nonsteroidal Aromatase Inhibitor (NSAI)","Southern Cancer Center, P.C., Daphne, Alabama, United States|Arizona Oncology Associates, P.C., Tempe, Arizona, United States|Compassionate Cancer Care Medical Group Inc, Fountain Valley, California, United States|California Cancer Associates Research and Excellence (cCARE), Fresno, California, United States|Beaver Medical Group, Highland, California, United States|Pacific Cancer Care, Monterey, California, United States|St. Joseph Hospital, Orange, California, United States|Comprehensive Cancer Centers of the Desert, Palm Springs, California, United States|California Cancer Associates in Research and Excellence, San Marcos, California, United States|Cancer Center of Santa Barbara with Sansum Clinic, Santa Barbara, California, United States|UCLA Medical Center, Torrance, California, United States|Memorial Hospital, Colorado Springs, Colorado, United States|Rocky Mountain Cancer Center, Lone Tree, Colorado, United States|Medical Oncology Hematology Consultants, PA, Newark, Delaware, United States|BayCare Medical Group, Clearwater, Florida, United States|Florida Cancer Specialists, Fort Myers, Florida, United States|Woodlands Medical Specialists, Pensacola, Florida, United States|Cancer Specialists of North Florida -St Augustine, Saint Augustine, Florida, United States|Florida Cancer Specialists, Saint Petersburg, Florida, United States|Florida Cancer Specialists, Tallahassee, Florida, United States|Florida Cancer Specialists, West Palm Beach, Florida, United States|Cleveland Clinic of Florida, Weston, Florida, United States|Summit Cancer Care, Savannah, Georgia, United States|Ingalls Memorial Hospital, Harvey, Illinois, United States|Illinois Cancer Specialists-Niles, Niles, Illinois, United States|Community Health Network, Indianapolis, Indiana, United States|Central Maine Medical Center, Lewiston, Maine, United States|York Hospital, York, Maine, United States|HCA Midwest, Kansas City, Missouri, United States|Oncology Hematology West, Omaha, Nebraska, United States|Comprehensive Cancer Centers of Nevada, Henderson, Nevada, United States|Valley Health System, Paramus, New Jersey, United States|Broome Oncology LLC, Johnson City, New York, United States|Abington Hematology Oncology Associates, Horsham, Pennsylvania, United States|Charleston Hematology Oncology Associates, Charleston, South Carolina, United States|Sarah Cannon Research Institute SCRI, Nashville, Tennessee, United States|Tennessee Oncology PLLC, Nashville, Tennessee, United States|Texas Oncology - Abilene, Abilene, Texas, United States|Texas Oncology - Amarillo, Amarillo, Texas, United States|Texas Oncology-Arlington South, Arlington, Texas, United States|Texas Oncology Cancer Center, Austin, Texas, United States|Texas Oncology - Bedford, Bedford, Texas, United States|Texas Oncology P.A., Dallas, Texas, United States|Texas Oncology - Medical City Dallas, Dallas, Texas, United States|Texas Oncology - Dallas Presbyterian Hospital, Dallas, Texas, United States|Texas Oncology-Baylor Charles A. Sammons Cancer Center, Dallas, Texas, United States|Texas Oncology - Marnie McFadden Ward Cancer Center, Dallas, Texas, United States|Texas Oncology P.A., El Paso, Texas, United States|Texas Oncology Flower Mound, Flower Mound, Texas, United States|The Center for Cancer and Blood Disorders, Fort Worth, Texas, United States|Texas Oncology-Memorial City, Houston, Texas, United States|Renovatio Clinical, Houston, Texas, United States|Texas Oncology - McAllen, McAllen, Texas, United States|Texas Oncology-McKinney, McKinney, Texas, United States|Texas Oncology- Mesquite, Mesquite, Texas, United States|Texas Oncology - Midland Allison Cancer Center, Midland, Texas, United States|Texas Oncology - Paris, Paris, Texas, United States|Texas Oncology-Plano East, Plano, Texas, United States|Texas Oncology-Plano West, Plano, Texas, United States|Texas Oncology - San Antonio Medical Center, San Antonio, Texas, United States|Texas Oncology-Sherman, Sherman, Texas, United States|US Oncology, The Woodlands, Texas, United States|Tyler Cancer Center, Tyler, Texas, United States|Texas Oncology-Deke Slayton Cancer Center, Webster, Texas, United States|Texas Oncology-Wichital Falls Texoma Cancer Center, Wichita Falls, Texas, United States|Intermountain Medical Center, Saint George, Utah, United States|Hematology Oncology Associates of Fredericksburg Inc., Fredericksburg, Virginia, United States|Virginia Oncology Associates, Norfolk, Virginia, United States|Oncology and Hematology Associates of Southwest Virginia Inc, Salem, Virginia, United States|Shenandoah Oncology, P.C., Winchester, Virginia, United States|Centro de Oncologia e Investigacion Buenos Aires, Berazategui, Buenos Aires, Argentina|CEMEDIC, Caba, Buenos Aires, Argentina|CENIT Centro de Neurociencias, Investigación y Tratamiento, Caba, Ciudad Autonoma Buenos Aires, Argentina|Centro Medico San Roque, San Miguel de Tucumán, Tucuman, Argentina|Clinica Adventista de Belgrano, Ciudad Autonoma Buenos Aires, Argentina|Sanatorio Parque, Salta, Argentina|Centro Polivalente de Asistencia e Inv. Clinica CER-San Juan, San Juan, Argentina|Centro para la Atencion Integral del Paciente Oncologico, Tucumain, Argentina|Universitätsklinikum Graz, Graz, Steiermark, Austria|Universitätsklinik Innsbruck, Innsbruck, Tirol, Austria|Universitätsklinikum Salzburg, Salzburg, Austria|AKH, Wien, Austria|Algemeen Ziekenhuis St Jan Brugge, Brugge, Belgium|Hopital De Jolimont, Haine-St.- Paul, Belgium|VZW REgional Ziekenhuis Jan Yperman, Ieper, Belgium|Clinique Saint Pierre Ottignies, Ottignies, Belgium|Núcleo de Oncologia da Bahia, Salvador, Bahia, Brazil|Instituto de Cancer de Londrina, Londrina, Parana, Brazil|Hospital de Caridade Ijui, Ijui, Rio Grande Do Sul, Brazil|Hospital São Lucas - PUCRS - ONCOLOGY, Porto Alegre, Rio Grande Do Sul, Brazil|Instituto COI de Pesquisa Educação e Gestão, Rio de Janeiro, RJ, Brazil|Hospital Bruno Born de Lajeado, Lajeado, RS, Brazil|Fundação PIO XII, Barretos, Sao Paulo, Brazil|Hospital de Base Fac de Medicina de Sao Jose do Rio Preto, Sao Jose Rio Preto, Sao Paulo, Brazil|Faculdade de Medicina do ABC, Santo Andre, SP, Brazil|Hospital das Clinicas da FMRP, Ribeirao Preto, São Paulo, Brazil|INCA - Instituto Nacional Do Cancer, Rio de Janeiro, Brazil|Fundacao Antonio Prudente-Hosp. do Cancer AC Camargo, Sao Paulo, Brazil|Soc. Beneficente de Senhoras Hospital Sirio Libanes-Oncology, São Paulo, Brazil|Clin. Pesq.e Centro Estudos Oncologia Ginecológica e Mamária, São Paulo, Brazil|Clinica Onco Star, São Paulo, Brazil|Hämatologisch-Onkologische Praxis Augsburg, Augsburg, Bavaria, Germany|Universität Leipzig - Universitätsklinikum, Leipzig, Sachsen, Germany|St. Vincenz-Krankenhaus GmbH-Frauen- und Kinderklinik St. Louise, Paderborn, Germany|Istituto Tumori Fondazione G. Pascale IRCCS, Napoli, Naples, Italy|Fondazione Piemonte l'Oncologia-Istituto Ricerca Cura Cancro, Candiolo, Torino, Italy|Policlinico S. Orsola Malpighi - Universita di Bologna, Bologna, Italy|Azienda Ospedaliera Universitaria Ospedale San Martino di Genova, Genova, Italy|IRCCS Ospedale San Raffaele, Milano, Italy|Istituto Oncologico Veneto, Padova, Italy|Centro di Riferimento Oncologico, Udine, Italy|Puerto Rico Hematology/Oncology Group, Bayamon, Puerto Rico|Ad-Vance Medical Research, Ponce, Puerto Rico|E-DA Cancer Hospital, Kaohsiung, Taiwan|China Medical University Hospital, Taichung, Taiwan|Taichung Veterans General Hospital, Taichung, Taiwan|National Cheng Kung University Hospital, Tainan, Taiwan|MacKay Memorial Hospital, Taipei, Taiwan|Koo Foundation Sun Yan-Sen Cancer Center, Taipei, Taiwan","https://ClinicalTrials.gov/show/NCT03988114"
9227,"Role of Statin in Venous Dysfunction in Patients With Venous Thromboembolism Event","Recruiting","No Results Available","Venous Thromboembolism|Dyslipidemias","Drug: Rosuvastatin 20mg|Drug: Control","Division of Cardiology, Yonsei Cardiovascular Hospital, Yonsei University College of Medicine, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT03988101"
9228,"A Study of Lasmiditan (LY573144) in Children Aged 6 to 17 With Migraine","Recruiting","No Results Available","Migraine","Drug: Lasmiditan","Perserverance Research Center, Scottsdale, Arizona, United States|Newport Beach Clinical Research Associates, Inc., Newport Beach, California, United States|New England Institute for Clinical Research, Stamford, Connecticut, United States|Meridien Research, Bradenton, Florida, United States|Meridien Research, Maitland, Florida, United States|Premiere Research Institute at Palm Beach Neurology, West Palm Beach, Florida, United States|Penn State Univ. Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|Hospital for Surgical Excellence of Oakbend Medical Center, Sugar Land, Texas, United States|Kurume Clinical Pharmacology Clinic, Kurume, Fukuoka, Japan|Clinical Research Hospital, Tokyo, Shinjyuku, Tokyo, Japan|San Jorge Children and Women's Hospital- Shipping Location, San Juan, Puerto Rico","https://ClinicalTrials.gov/show/NCT03988088"
9229,"Non-opioid Based Pain Control After Thyroidectomy","Recruiting","No Results Available","Pain|Thyroidectomy","Other: Acetaminophen and hydrocodone based pain control|Other: Acetaminophen and ibuprofen based pain control","MedStar Washington Hospital Center, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT03988075"
9230,"Aneurysm Packing With the Expandable TrelliX Coil System - A Prospective Safety Study","Recruiting","No Results Available","Ruptured or Unruptured Cerebral Aneurysms","Device: TrelliX Embolic Coil System","Instituto de Neurocirugía, Santiago, Chile","https://ClinicalTrials.gov/show/NCT03988062"
9231,"Comparison of 1,550 and 755 Laser in a Split-face Trial","Active, not recruiting","No Results Available","Acne Scars - Mixed Atrophic and Hypertrophic","Device: 1,550 fracionated photothermolysis laser vs. 755 picosecond laser","University of Utah MidValley Dermatology, Murray, Utah, United States","https://ClinicalTrials.gov/show/NCT03988049"
9232,"A Study With Pembrolizumab in Combination With Dual Anti-HER2 Blockade With Trastuzumab and Pertuzumab in Early Breast Cancer Patients With Molecular HER2-enriched Intrinsic Subtype (Keyriched-1)","Not yet recruiting","No Results Available","Breast Cancer","Drug: Pembrolizumab|Drug: Trastuzumab Biosimilar ABP 980|Drug: Pertuzumab",,"https://ClinicalTrials.gov/show/NCT03988036"
9233,"Study of Ampion for the Treatment of Pain and Function in Patients With Severe Osteoarthritis of the Knee.","Recruiting","No Results Available","Severe Osteoarthritis of the Knee","Biological: Ampion|Other: Saline","Denver Metro Orthopedics, Englewood, Colorado, United States","https://ClinicalTrials.gov/show/NCT03988023"
9234,"Evaluation of the Effect of Preoperative Intravenous Amantadine Sulfate on the Postoperative Early Cognitive Functions in a Elderly Patient With Laparoscopic Radical Prostatectomy","Active, not recruiting","No Results Available","Postoperative Cognitive Dysfunction","Drug: Amantadine Sulfate|Drug: Placebo (for amantadine sulphate)","Erciyes Univercity, Kayseri, Melikgazi, Turkey","https://ClinicalTrials.gov/show/NCT03988010"
9235,"Bed Rest and Muscle Strength in ICU: Interest in the Early Association of NEMS With Cyclo-ergometer Mobilization","Recruiting","No Results Available","Weakness, Muscle","Device: Early association of electrical muscle stimulation with cyclo-ergometer","Hôpital d'intruction des armées Clermont-Tonnerre, Brest, France","https://ClinicalTrials.gov/show/NCT03987997"
9236,"Reliability and Validity of the Turkish Version of the Sensory Eating Problems Scale","Recruiting","No Results Available","Feeding and Eating Disorders",,"Gazi University, Faculty of Health and Sciences, Department of Physiotherapy and Rehabilitation, Ankara, Turkey","https://ClinicalTrials.gov/show/NCT03987984"
9237,"Acupuncture on GB26 to Treat Chronic Low Back Pain","Not yet recruiting","No Results Available","Chronic Low-back Pain","Other: acupuncture",,"https://ClinicalTrials.gov/show/NCT03987971"
9238,"A Study to Describe the Safety and Effectiveness of Venetoclax in Acute Myeloid Leukemia (AML) Patients (REVIVE Study)","Recruiting","No Results Available","Acute Myeloid Leukemia",,"Bnai Zion Medical Center /ID# 213344, Haifa, Israel","https://ClinicalTrials.gov/show/NCT03987958"
9239,"Left Atrial Appendage Occlusion in Patients With Non-valvular Atrial Fibrillation From Shanghai","Recruiting","No Results Available","Atrial Fibrillation|Left Atrial Appendage Occlusion","Device: left atrial appendage occlusion devices","Department of Cardiology, Shanghai Tenth People's Hospital, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT03987945"
9240,"NEAT!2 Sedentary Behavior Reduction for Individuals With Past or Present Knee Symptoms, Injuries, or Surgeries","Recruiting","No Results Available","Sedentary Lifestyle|Knee Osteoarthritis|Knee Injuries|Knee Pain Chronic","Behavioral: NEAT!2|Behavioral: NEAT!2+Calls|Behavioral: Delayed NEAT!2","University of South Carolina, Columbia, South Carolina, United States","https://ClinicalTrials.gov/show/NCT03987932"
